wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,R/PA,RPG,cFIP,season,division
0.348,1.123,0.79829,0.81915,0.95954,1.35663,1.71307,2.01798,0.133,5.236,3.651,2013,1
0.341,1.18,0.78569,0.79812,0.96545,1.36776,1.82269,2.07572,0.129,5.061,3.525,2014,1
0.349,1.105,0.79783,0.82336,0.95064,1.32426,1.64098,1.9648,0.137,5.425,3.733,2015,1
0.348,1.102,0.7854,0.7966,0.9524,1.3127,1.7083,1.96578,0.139,5.536,3.822,2016,1
0.351,1.092,0.77729,0.79205,0.94322,1.30842,1.70758,1.95513,0.143,5.694,3.861,2017,1
0.354,1.075,0.79647,0.81863,0.94821,1.31856,1.62259,1.93642,0.141,5.626,3.841,2018,1
0.355,1.045,0.80637,0.82853,0.94698,1.29146,1.60941,1.89128,0.145,5.838,3.951,2019,1
0.346,1.095,0.79689,0.81968,0.97083,1.28144,1.65008,2.0367,0.139,5.535,3.909,2020,1
0.37,0.9767,0.75,0.76,0.94,1.32,1.63,2.07,0.151,5.887,4.021,2021,1
0.367,0.9795,0.785404,0.803778,0.949848,1.303976,1.643932,1.977906,0.157,,4.205,2022,1
0.367,0.9795,0.785404,0.803778,0.949848,1.303976,1.643932,1.977906,0.157,,4.205,2023,1
0.368,1.185,0.77,0.79,0.96,1.40,1.75,2.12,0.151,,4.05,2013,2
0.364,1.203,0.77,0.79,0.96,1.41,1.67,2.13,0.146,,3.92,2014,2
0.372,1.151,0.76,0.79,0.94,1.37,1.63,2.07,0.157,,4.16,2015,2
0.375,1.133,0.76,0.79,0.94,1.36,1.68,2.03,0.161,,4.21,2016,2
0.374,1.148,0.76,0.79,0.94,1.37,1.66,2.04,0.159,,4.15,2017,2
0.377,1.128,0.77,0.79,0.95,1.34,1.61,2.02,0.163,,4.27,2018,2
0.376,1.132,0.77,0.79,0.95,1.35,1.65,2.03,0.161,,4.29,2019,2
0.373,1.171,0.74,0.76,0.96,1.37,1.68,2.12,0.160,,4.29,2020,2
0.373,1.171,0.74,0.76,0.96,1.37,1.68,2.12,0.160,,4.29,2021,2
0.373,1.171,0.74,0.76,0.96,1.37,1.68,2.12,0.160,,4.29,2022,2
0.373,1.171,0.74,0.76,0.96,1.37,1.68,2.12,0.160,,4.29,2023,2
0.369,1.189,0.77,0.81,0.97,1.43,1.77,2.14,0.150,,4.11,2013,3
0.369,1.185,0.78,0.81,0.97,1.41,1.77,2.13,0.151,,4.05,2014,3
0.372,1.160,0.77,0.80,0.96,1.40,1.72,2.09,0.156,,4.22,2015,3
0.373,1.160,0.78,0.81,0.95,1.40,1.69,2.09,0.157,,4.22,2016,3
0.375,1.159,0.77,0.80,0.96,1.40,1.69,2.09,0.158,,4.21,2017,3
0.378,1.138,0.77,0.81,0.97,1.39,1.71,2.06,0.160,,4.35,2018,3
0.378,1.124,0.78,0.81,0.97,1.39,1.69,2.02,0.160,,4.43,2019,3
0.378,1.195,0.72,0.76,0.99,1.37,1.59,2.19,0.189,,4.19,2020,3
0.378,1.195,0.72,0.76,0.99,1.37,1.59,2.19,0.189,,4.19,2021,3
0.378,1.195,0.72,0.76,0.99,1.37,1.59,2.19,0.189,,4.19,2022,3
0.378,1.195,0.72,0.76,0.99,1.37,1.59,2.19,0.189,,4.19,2023,3